# IKS4A1 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
253590313,-78,3,857,7936,1050,-2222
253598332,-78,3,857,8260,-1610,-2940
253598866,-94,4,897,8260,-1610,-2940
253606887,-94,4,897,8365,-2318,-3850
253607420,-103,1,943,8365,-2318,-3850
253611491,-103,1,943,8365,-2318,-3850
253615449,-100,-19,962,8067,-1286,-4296
253623993,-103,-29,952,8548,-131,-3298
253632537,-94,-11,936,9117,577,-2117
253641081,-65,-6,907,8575,665,-1496
253649625,-42,-1,883,5845,-1216,-787
253658169,-39,8,897,1155,-5731,78
253666712,-34,27,959,-4060,-10097,288
253675258,-23,20,1019,-7201,-12328,-595
253683802,-36,9,1073,-7096,-12923,-446
253692139,-36,9,1073,-5258,-11401,210
253692672,-64,31,1152,-5258,-11401,210
253700691,-64,31,1152,-2826,-6291,-463
253701224,-77,29,1224,-2826,-6291,-463
253709245,-77,29,1224,332,2362,-1312
